Domain,#Quads of Subset,#Entities of class,Properties and Density
25language.com,610489,4518,{'name': 1.0}
ig.com.br,716887,15734,{'name': 1.0}
carbonaraalticino.pv.it,102,2,{'name': 1.0}
customflagsaustralia.com.au,6899,244,{'containsPlace': 1.0}
hey.car,70840,421,{'name': 1.0}
news24online.com,2462988,13447,{'name': 1.0}
nyc.gov,7539,239,{'name': 1.0}
lingerieseduction.com.au,57364,290,{'name': 1.0}
mediamarkt.pl,378010,4253,{'name': 1.0}
ocula.com,160584,7135,{'name': 1.0}
delicon.jp,35493,764,{'name': 1.0}
selectra.info,4291,49,{'name': 1.0}
vidomo.media,49033,1298,{'name': 1.0}
agence-france-electricite.fr,1446792,3081,{'name': 1.0}
dorunner.se,46257,8623,{'name': 1.0}
freepressjournal.in,2801981,15987,{'name': 1.0}
kff-law.com,10740,564,{'name': 1.0}
kindercare.com,397468,2155,{'name': 1.0}
kuilsriverprop.co.za,448,17,{'name': 1.0}
loksatta.com,3717195,15538,{'name': 1.0}
mediamarkt.at,212890,3121,{'name': 1.0}
merci-facteur.com,950890,3167,{'name': 1.0}
mrrb.bg,7853,556,{'name': 1.0}
musiciansfriend.com,396805,16513,{'name': 1.0}
rbc.ua,2442237,40206,{'name': 1.0}
ulta.com,685759,31846,{'name': 1.0}
zoomtoner.ca,84947,1784,{'name': 1.0}
1baiser.com,782166,5618,{'name': 1.0}
califoriahrtclinic.com,2475,35,{'name': 1.0}
kitchensolvers.com,84468,606,{'name': 1.0}
pitriloans.com,38994,297,{'name': 1.0}
canakkalekalem.com,114661,3278,{'name': 1.0}
exceltoner.ca,117222,2360,{'name': 1.0}
fournisseur-energie.com,4092998,6875,{'name': 1.0}
hha.com.tr,86546,2480,{'name': 1.0}
jesusistheonlyanswer.com,39306,697,{'name': 1.0}
linenplus.com,45291,1095,{'name': 1.0}
mediaworld.it,593957,10658,{'name': 1.0}
olx.ua,346457,12924,{'name': 1.0}
uk.com,1031452,4991,{'name': 1.0}
sq.com.ua,118508,3397,{'name': 1.0}
travisperkins.co.uk,32218,1327,{'name': 1.0}
ukmeds.co.uk,2501,23,{'name': 1.0}
vmedia.ca,12077,1391,{'name': 1.0}
washingtonlawhelp.org,85147,1388,{'name': 1.0}
xn-----7kcbgrcxdnhkjpdgfdugzhx4f3h.xn--p1ai,168,4,{'name': 1.0}
lun.ua,1576955,33692,{'name': 0.6979401638371127}
aviationschoolsonline.com,89746,1581,{'name': 1.0}
i-quiero.com,356928,4242,{'name': 1.0}
mass.gov,23333,682,{'name': 1.0}
pests.org,404094,643,{'geo': 1.0}
soulegria.com,16605,303,{'name': 1.0}
teetimes.pt,5676,422,{'name': 1.0}
poglianomilanese.mi.it,126,6,{'name': 1.0}
dumka.media,117517,2995,{'name': 1.0}
internet-casa.com,174627,335,{'name': 1.0}
ramsboards.com,82566,5146,{'name': 1.0}
topescortbabes.com,37955,1046,{'name': 1.0}
chrishudsonlaw.com,19220,1012,{'name': 1.0}
dulcesyregalos.com,222647,2622,{'name': 1.0}
karamanca.net,14526,370,{'name': 1.0}
mens-v.com,48149,1114,{'name': 1.0}
tenantapp.com.au,59449,2283,{'containsPlace': 1.0}
yorkshireroofwindows.co.uk,9281,135,{'name': 1.0}
quanlotnamgiare.com,6337,154,{'name': 1.0}
indianexpress.com,46207,219,{'name': 1.0}
nonstop-lekarna.cz,102901,1989,{'name': 1.0}
tainabox.com.ua,80988,687,{'name': 1.0}
thrivestlink.com,7489,62,{'name': 1.0}
diamondbanc.com,20299,210,{'name': 1.0}
giahuytech.com,17762,256,{'name': 1.0}
ny-engineers.com,45266,1279,{'name': 1.0}
olx.kz,915043,32777,{'name': 1.0}
olx.uz,61468,2258,{'name': 1.0}
buscatuprofesor.es,72054,219,{'geo': 1.0}
planning.wedding,62737,337,{'name': 1.0}
sterlegrad.ru,2284,59,{'name': 1.0}
anhkhoi.vn,21973,455,{'name': 1.0}
bibelotandco.fr,102173,1006,{'address': 1.0}
euroavocatura.ro,23204,1081,{'name': 1.0}
mediamarkt.be,109258,1170,{'name': 1.0}
mediamarkt.nl,849220,13171,{'name': 1.0}
roberthalf.com,9997,339,{'name': 1.0}
50webs.com,1674,23,{'name': 1.0}
aliagamedya.com,15203,376,{'name': 1.0}
antalyahurses.com,38163,1108,{'name': 1.0}
boostup.ai,4310,70,{'name': 1.0}
haberde.net,3213,45,{'name': 1.0}
kayseridebugun.com.tr,62419,1634,{'name': 1.0}
valchoice.com,3886,190,{'name': 1.0}
ycdscc.com,33248,538,{'name': 1.0}
izmir.bel.tr,8,1,{'name': 1.0}
sanfiorano.lo.it,155,7,{'name': 1.0}
kontramarka.ua,81751,918,{'address': 1.0}
acreformas.com,6753,70,{'name': 1.0}
codigospostal.org,15059,519,{'name': 1.0}
la-tour.ch,8416,406,{'name': 1.0}
masternet.org,41604,777,{'name': 1.0}
nampa.org,32381,991,{'name': 1.0}
papernest.com,78691,274,{'name': 1.0}
sanliurfa63.com,8506,244,{'name': 1.0}
vangazetesi.com,14848,446,{'name': 1.0}
barneyinjurylaw.com,4518,76,{'name': 1.0}
dependexteriors.com,8523,182,{'name': 1.0}
flatfy.ua,427985,9294,{'name': 0.7083064342586615}
main-gauche.com,13094,372,{'name': 1.0}
motormaatje.nl,14637,265,{'name': 1.0}
nelsonsmetals.com,6962,10,{'name': 1.0}
azcourthelp.org,172876,818,{'name': 1.0}
boutique-box-internet.fr,419346,891,{'name': 1.0}
cineman.ch,50858,1462,{'name': 1.0}
gk-services.info,1817,11,{'name': 1.0}
mypos.com,74114,1285,{'name': 1.0}
resqct.org,6878,283,{'name': 1.0}
rotorooter.com,186596,1586,{'name': 1.0}
switch-plan.co.uk,64283,204,{'name': 1.0}
theballoonshop.com.au,12858,377,{'name': 1.0}
a1.art,60773,1995,{'name': 1.0}
e24bollywood.com,131844,1384,{'name': 1.0}
prvstatic.com,138130,696,{'name': 1.0}
kakaobugo.com,3270,120,{'name': 1.0}
mticket.fr,92608,343,{'address': 1.0}
spfpharmacy.com,40083,591,{'name': 1.0}
upfronthomeservices.com,17427,199,{'name': 1.0}
ganapaticrafts.com,156631,84,{'name': 1.0}
lovetoner.com,124313,2784,{'name': 1.0}
mapas-del-mundo.net,1263,45,{'name': 1.0}
paulaschoice.com,15047,808,{'name': 1.0}
thebestqualityplumbing.com,5967,27,{'geo': 1.0}
kallos.co,741887,1254,{}
deltronelectricfl.com,11583,48,{'geo': 1.0}
olx.pl,400261,13114,{'name': 1.0}
tusclasesparticulares.com,27450,685,{}
privalia.com,333115,1773,{'name': 1.0}
bitnerhenry.com,10939,1395,{'name': 1.0}
sonderborgkommune.dk,4094,238,{'name': 1.0}
valkae.fr,399321,13071,{'name': 1.0}
desayunoperu.com,46766,3309,{'name': 1.0}
everythingled.com,20027,2952,{'name': 1.0}
everythingneon.com,77389,10312,{'name': 1.0}
karamanajans.com,5472,136,{'name': 1.0}
oakparquet.co.uk,18102,290,{'name': 1.0}
sterlingforever.com,31577,845,{'geo': 1.0}
thegioibiada.com,15249,361,{'name': 1.0}
tortas.com.pe,169522,2310,{'name': 1.0}
ukhomedetox.co.uk,2381,26,{'name': 1.0}
grameco.com,138373,2076,{'name': 1.0}
geoventas.com,210264,3054,{'name': 1.0}
nchc.org.tw,656,58,{'name': 1.0}
dikesco.ru,17,1,{'description': 1.0}
haberlerd.com,1964,54,{'name': 1.0}
indy.fr,2890,179,{'name': 1.0}
mudanzasinternacional.es,7666,91,{'name': 1.0}
quarkexpeditions.com,2132,56,{'address': 1.0}
buki.com.ua,220832,397,{'geo': 1.0}
evidencehub.net,1906,39,{'name': 1.0}
agence-electricite-france.fr,55115,249,{'name': 1.0}
debenhamsproperties.co.za,423,16,{'name': 1.0}
desayunos.com.pe,265823,3210,{'name': 1.0}
mediamarkt.es,90917,1294,{'name': 1.0}
olx.bg,115760,4766,{'name': 1.0}
timeout.com,11256,522,{'name': 1.0}
askacharya.com,1555,77,{'name': 1.0}
kassandmoses.com,72780,13920,{'name': 1.0}
missourivalleyhomes.com,1578,11,{'containsPlace': 1.0}
nabbi.sk,51409,531,{'geo': 1.0}
vlachoshome.com,37929,204,{'name': 1.0}
byowner.com,140129,334,{'name': 1.0}
narni.tr.it,1277,29,{'name': 1.0}
kids-party-finder.co.uk,4880,808,{'name': 1.0}
tombruno.com,25408,2109,{'name': 1.0}
thenorthridgeplumber.com,11735,66,{'geo': 1.0}
airtasker.com,95649,306,{'name': 1.0}
alanyaajans.net,36912,990,{'name': 1.0}
alphaservices-valfroid.com,650,20,{'name': 1.0}
ca.gov,8014,149,{'name': 1.0}
maybientangiare.com,9537,231,{'name': 1.0}
automaty-zdarma.com,77136,606,{'name': 1.0}
fantasticservicesgroup.com.au,40230,1098,{'name': 1.0}
rogvisionaries.com,9245,71,{'name': 1.0}
balades-en-famille.ch,5233,372,{'name': 0.9811827956989247}
canvietnhat.com,18456,440,{'name': 1.0}
crittercontrol.com,40543,68,{'geo': 1.0}
dataxivi.com,134737,2161,{'name': 1.0}
pusiano.co.it,410,8,{'name': 1.0}
e-venz.com,7287,157,{'name': 1.0}
sendmyrepair.com,40235,244,{'name': 1.0}
bestbest.vn,20975,462,{'name': 1.0}
flooringsuppliescentre.co.uk,1136,16,{'name': 1.0}
kulis.tv,5820,162,{'name': 1.0}
letuelezioni.it,21614,541,{}
promutuelassurance.ca,17554,209,{'name': 1.0}
chemistry.coach,213933,804,{'name': 1.0}
newpropertydetails.com,24397,310,{'name': 1.0}
bolgesel.net,3480,49,{'name': 1.0}
maymainenbetong.com.vn,20775,467,{'name': 1.0}
newyorkfacialplasticsurgery.com,15106,97,{'name': 1.0}
sb3coating.com,7845,103,{'name': 1.0}
up-stage.info,17595,184,{'name': 1.0}
symbiostock.info,11292,36,{'name': 1.0}
vitalehealthlaw.com,10172,89,{'name': 1.0}
campmanyabogados.com,53797,438,{'name': 1.0}
fucecchio.fi.it,87,3,{'name': 1.0}
licenciascazapesca.com,216,15,{'name': 1.0}
olx.ro,42499,1218,{'name': 1.0}
zerotax.ai,6377,118,{'name': 1.0}
zoozmoving.com,4287,21,{'name': 1.0}
matthewtrader.com,10533,101,{'name': 1.0}
bergesinstitutespanish.com,2627,79,{'name': 1.0}
deliregalos.com,60414,2994,{'name': 1.0}
futurefitouts.com.au,13288,225,{'name': 0.6666666666666666}
muftulukhaber.com,1718,46,{'name': 1.0}
webuyhomesde.com,16468,20,{'containsPlace': 1.0}
yargininnabzi.com,4043,104,{'name': 1.0}
lagahe.com,1012,22,{'name': 1.0}
spitalulbuzau.ro,9372,167,{'name': 1.0}
portlandbymouth.com,799,72,{'name': 1.0}
troubledteensearch.com,9963,184,{'name': 1.0}
worldclothingmanufacturers.com,33811,431,{'name': 1.0}
mapsland.com,1622,50,{'name': 1.0}
mediamarkt.ch,26645,314,{'name': 1.0}
merzifonbilgigazetesi.com,65824,1944,{'name': 1.0}
a-1totalserviceplumbing.com,26274,89,{'geo': 1.0}
deadwoodknives.com,25300,361,{'name': 1.0}
highlandgrovelandscaping.com,3194,26,{'name': 1.0}
pizzatuttis.com.au,101,1,{'name': 1.0}
bolivarpeninsulatexas.com,705,50,{'address': 1.0}
orduulak.com,2997,84,{'name': 1.0}
avalonfamilydentistry.com,4118,31,{'name': 1.0}
soldonstephanie.com,2273,18,{'geo': 1.0}
coolcleanac.com,5450,109,{'name': 1.0}
expansewilderness.com,36238,1060,{'name': 1.0}
ismininanlaminiara.com,39928,906,{'name': 1.0}
kelponton.fr,28925,360,{'address': 1.0}
archetypeforms.com,838433,85278,{'name': 1.0}
brayco.com.au,4575,50,{'containsPlace': 1.0}
frontier.com,8154,468,{'name': 1.0}
benhvienthucuc.vn,15673,157,{'name': 1.0}
weselectdresses.com,62256,1222,{'name': 1.0}
afyonturkeligazetesi.com,10139,284,{'name': 1.0}
merusri.com,11400,28,{'name': 1.0}
newhavenbuildingcompany.co.uk,1207,6,{'name': 1.0}
rockymountainivmedics.com,14503,158,{'name': 1.0}
weldioo.com,3500,50,{'name': 1.0}
baumannpaper.com,81127,1326,{'name': 1.0}
bretagne.bzh,9417,231,{'name': 1.0}
citrine.us,7610,115,{'name': 1.0}
letruria.it,6839,191,{'name': 1.0}
oakparquetflooring.co.uk,22007,317,{'name': 1.0}
serenataflowers.com,121902,345,{'address': 1.0}
serenitylivingalf.com,1387,39,{'name': 1.0}
theacalitzproperties.co.za,378,12,{'name': 1.0}
concordpainting.com,2582,126,{'name': 1.0}
idahopatientact.org,2932,36,{'name': 1.0}
barberinotavarnelle.fi.it,1938,44,{'name': 1.0}
erblegal.com,11090,208,{'name': 1.0}
euromaster.fr,234,5,{'name': 1.0}
strathcona.ca,9792,628,{'name': 1.0}
yerelgozcu.com.tr,4136,112,{'name': 1.0}
vitoria-gasteiz.org,5983,173,{'name': 1.0}
citibank.ae,4167,55,{'name': 1.0}
doctolist.com,43433,60,{'name': 1.0}
ekskavator.kiev.ua,421,13,{'name': 1.0}
chairforce.com.au,7279,80,{'containsPlace': 1.0}
mfin.services,13576,109,{'name': 1.0}
colceresa.vi.it,225,11,{'name': 1.0}
dekra78.com,289,8,{'name': 1.0}
baufi24.de,11217,126,{'name': 1.0}
kohlerandhart.com,12820,1575,{'name': 1.0}
mudanzas-baratas-madrid.es,6044,74,{'name': 1.0}
medesano.pr.it,3065,69,{'name': 1.0}
gramdavies.com,338,3,{'name': 1.0}
luce-gas.it,17661,266,{'name': 1.0}
hallcoac.com,8591,34,{'geo': 1.0}
moldinspectiontexas.com,156,4,{'name': 1.0}
toprankplumbing.com,16808,64,{'geo': 1.0}
zoweg.nl,7119,90,{'address': 1.0}
feedex.com.pl,11509,137,{'name': 1.0}
furnitureremovalcompany.co.za,9767,642,{'name': 1.0}
hicounselor.com,2030,16,{'name': 1.0}
cloudwaysapps.com,134,8,{'name': 1.0}
intercedenow.ca,510,9,{'name': 1.0}
myrescueplumbing.com,100960,49,{'geo': 1.0}
regan-roofing.com,67404,984,{'name': 1.0}
247expressvn.vn,60671,283,{}
adorne.com.au,117040,2112,{'name': 1.0}
agence-energie.com,3120,64,{'name': 1.0}
corpusvitrearum.de,81270,311,{'name': 1.0}
discoverbroussard.com,1003,58,{'name': 1.0}
